88,,,,,,,,,,,,,,,,,
SiO2, TiO2, Al2O3, Fe2O3, Cr2O3, FeO, Mno, MgO, CaO, Na2O, K2O, P2O5, H2O, T°C, Pbar, logfO2, INTEGER, FLAG
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,760, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,780, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,800, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,820, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,840, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,860, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,880, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,900, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,920, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,940, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,960, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,980, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1000, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1020, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1040, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1060, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1080, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1100, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1120, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1140, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1160, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1180, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1200, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1220, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1240, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1260, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1280, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1300, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1320, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1340, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1360, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1380, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1400, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1420, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1440, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1460, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1480, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1500, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1520, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1540, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1560, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1580, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1600, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1620, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1640, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1660, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1680, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1700, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1720, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1740, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1760, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1780, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1800, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1820, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1840, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1860, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1880, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1900, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1920, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1940, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1960, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,1980, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2000, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2020, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2040, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2060, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2080, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2100, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2120, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2140, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2160, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2180, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2200, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2220, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2240, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2260, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2280, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2300, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2320, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2340, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2360, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2380, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2400, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2420, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2440, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2460, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2480, 1.0, -0.677,1,0
57.4,  0.96,   19.8,   0.,  0.,  5.3,  0.2,  0.89,  2.6,   7.0,   4.6,   0.0,  0.0,2500, 1.0, -0.677,1,0
